DL-methionine; chemical synthesis; at processing plant
L-lysine; fermentation process; at processing plant
alfalfa hay production; bailed, stored outside; on farm; dry matter
aluminum roofing and siding; at manufacturer
application of lime fertilizer; at field
application of nitrogen fertilizer mix; at field
apply fertilizer; no broadcast, band sprayer, corn; at farm
apply fertilizer; no broadcast, band sprayer, cotton; at farm
apply fertilizer; no broadcast, band sprayer, oats; at farm
apply fertilizer; no broadcast, band sprayer, peanuts; at farm
apply fertilizer; no broadcast, band sprayer, rice; at farm
apply fertilizer; no broadcast, band sprayer, soybeans; at farm
apply fertilizer; no broadcast, band sprayer, spring wheat; at farm
apply fertilizer; no broadcast, band sprayer, winter wheat; at farm
apply fertilizer; no broadcast, directed sprayer, corn; at farm
apply fertilizer; no broadcast, directed sprayer, cotton; at farm
apply fertilizer; no broadcast, directed sprayer, oats; at farm
apply fertilizer; no broadcast, directed sprayer, peanuts; at farm
apply fertilizer; no broadcast, directed sprayer, rice; at farm
apply fertilizer; no broadcast, directed sprayer, soybeans; at farm
apply fertilizer; no broadcast, directed sprayer, spring wheat; at farm
apply fertilizer; no broadcast, directed sprayer, winter wheat; at farm
apply fertilizer; no broadcast, spot sprayer, corn; at farm
apply fertilizer; no broadcast, spot sprayer, cotton; at farm
apply fertilizer; no broadcast, spot sprayer, oats; at farm
apply fertilizer; no broadcast, spot sprayer, peanuts; at farm
apply fertilizer; no broadcast, spot sprayer, rice; at farm
apply fertilizer; no broadcast, spot sprayer, soybeans; at farm
apply fertilizer; no broadcast, spot sprayer, spring wheat; at farm
apply fertilizer; no broadcast, spot sprayer, winter wheat; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, corn; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, cotton; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, oats; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, peanuts; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, rice; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, soybeans; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, spring wheat; at farm
apply fertilizer; with incorporation, drawn broadcast sprayer, winter wheat; at farm
apply fertilizer; with incorporation, fertilizer spreader, corn; at farm
apply fertilizer; with incorporation, fertilizer spreader, cotton; at farm
apply fertilizer; with incorporation, fertilizer spreader, oats; at farm
apply fertilizer; with incorporation, fertilizer spreader, peanuts; at farm
apply fertilizer; with incorporation, fertilizer spreader, rice; at farm
apply fertilizer; with incorporation, fertilizer spreader, soybeans; at farm
apply fertilizer; with incorporation, fertilizer spreader, spring wheat; at farm
apply fertilizer; with incorporation, fertilizer spreader, winter wheat; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, corn; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, cotton; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, oats; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, peanuts; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, rice; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, soybeans; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, spring wheat; at farm
apply fertilizer; with incorporation, self-propelled broadcast sprayer, winter wheat; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, corn; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, cotton; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, oats; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, peanuts; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, rice; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, soybeans; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, spring wheat; at farm
apply fertilizer; without incorporation, drawn broadcast sprayer, winter wheat; at farm
apply fertilizer; without incorporation, fertilizer spreader, corn; at farm
apply fertilizer; without incorporation, fertilizer spreader, cotton; at farm
apply fertilizer; without incorporation, fertilizer spreader, oats; at farm
apply fertilizer; without incorporation, fertilizer spreader, peanuts; at farm
apply fertilizer; without incorporation, fertilizer spreader, rice; at farm
apply fertilizer; without incorporation, fertilizer spreader, soybeans; at farm
apply fertilizer; without incorporation, fertilizer spreader, spring wheat; at farm
apply fertilizer; without incorporation, fertilizer spreader, winter wheat; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, corn; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, cotton; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, oats; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, peanuts; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, rice; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, soybeans; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, spring wheat; at farm
apply fertilizer; without incorporation, self-propelled broadcast sprayer, winter wheat; at farm
apply liming materials; spreader and chisel plow, corn; at farm
apply liming materials; spreader and chisel plow, cotton; at farm
apply liming materials; spreader and chisel plow, oats; at farm
apply liming materials; spreader and chisel plow, peanuts; at farm
apply liming materials; spreader and chisel plow, soybeans; at farm
apply liming materials; spreader and chisel plow, spring wheat; at farm
apply liming materials; spreader and chisel plow, winter wheat; at farm
apply liming materials; spreader and tandem disks, corn; at farm
apply liming materials; spreader and tandem disks, cotton; at farm
apply liming materials; spreader and tandem disks, oats; at farm
apply liming materials; spreader and tandem disks, peanuts; at farm
apply liming materials; spreader and tandem disks, soybeans; at farm
apply liming materials; spreader and tandem disks, spring wheat; at farm
apply liming materials; spreader and tandem disks, winter wheat; at farm
apply pesticide; banded or side-dressed, corn; at farm
apply pesticide; banded or side-dressed, cotton; at farm
apply pesticide; banded or side-dressed, peanuts; at farm
apply pesticide; banded or side-dressed, soybeans; at farm
apply pesticide; banded or side-dressed, winter wheat; at farm
apply pesticide; broadcast by air, corn; at farm
apply pesticide; broadcast by air, cotton; at farm
apply pesticide; broadcast by air, rice; at farm
apply pesticide; broadcast by air, soybeans; at farm
apply pesticide; broadcast by air, spring wheat; at farm
apply pesticide; broadcast by air, winter wheat; at farm
apply pesticide; broadcast with incorporation, drawn sprayer, corn; at farm
apply pesticide; broadcast with incorporation, drawn sprayer, cotton; at farm
apply pesticide; broadcast with incorporation, drawn sprayer, oats; at farm
